Chromosome,Wide peak start,Wide peak end,amp/del,2q3,Wide Peak Limits,Peak Limits,Region Limits,q values,Residual q values after removing segments shared with higher peaks,Description with number,Description,Comment,Unnamed: 13,Deep Del,Shallow Del,Neutral,Low Gain,High Gain,% Deep Del,% Shallow Del,% Neutral,% Low Gain,% High Gain,n_genes,Genes
chr1,56202184,118877972,Del,1p31.1  ,chr1:56202184-118877972(probes 20163:39440)      ,chr1:82063001-82068093(probes 29165:29165)        ,chr1:82044805-82114132(probes 29155:29184)        ,0.10736,0.10736,---,---,,,0,100,263,123,3,0.0%,20.4%,53.8%,25.2%,0.6%,347,"DNTTIP2(0.65),FAM40A(0.62),DDX20(0.62),RPAP2(0.60),MIER1(0.59),USP33(0.59),PKN2(0.59),CSDE1(0.59),CLCC1(0.58),RTCD1(0.57),DBT(0.57),LRRC8B(0.57),TRIM33(0.57),AHCYL1(0.57),BCL10(0.56),GTF2B(0.56),STXBP3(0.56),SERBP1(0.55),SASS6(0.55),LRIG2(0.55),PRPF38B(0.54),CCDC76(0.54),GNG5(0.54),CAPZA1(0.54),GDAP2(0.54),BCAS2(0.54),SLC30A7(0.53),LRRC8D(0.53),TTF2(0.53),WDR3(0.53),SARS(0.53),ZZZ3(0.52),MAN1A2(0.52),AGL(0.52),HBXIP(0.52),MYSM1(0.52),MTF2(0.52),SH3GLB1(0.52),ZNF644(0.51),RSBN1(0.51),DCLRE1B(0.51),CTTNBP2NL(0.51),GNAI3(0.50),DR1(0.50),WDR47(0.50),SFRS11(0.50),ALG6(0.49),GLMN(0.49),VANGL1(0.49),PSMA5(0.49),RBM15(0.49),AP4B1(0.49),INADL(0.48),OMA1(0.48),ABCD3(0.48),JAK1(0.48),ST7L(0.48),MOV10(0.48),RWDD3(0.48),ATP5F1(0.47),AMPD2(0.47),DOCK7(0.47),ANKRD13C(0.47),SSX2IP(0.47),TMED5(0.46),WDR77(0.46),SLC25A24(0.46),LRRC40(0.46),CEPT1(0.45),GCLM(0.45),FNBP1L(0.45),RABGGTB(0.45),HOOK1(0.45),USP1(0.45),CCDC18(0.44),FAM73A(0.44),TM2D1(0.44),SEP15(0.44),ODF2L(0.44),NRAS(0.44),ITGB3BP(0.44),ATP1A1(0.44),SLC35A3(0.44),ACADM(0.43),TRIM45(0.43),FPGT(0.43),BTBD8(0.43),PSRC1(0.42),KIAA1107(0.42),HIPK1(0.42),CTBS(0.42),SORT1(0.41),MAGI3(0.41),ZRANB2(0.41),GPSM2(0.41),RAP1A(0.41),TAF13(0.41),PIGK(0.40),LEPROT(0.40),HIAT1(0.40),DENND2D(0.40),PGM1(0.39),HS2ST1(0.39),DEPDC1(0.39),ATG4C(0.39),GNG12(0.38),RHOC(0.38),CELSR2(0.38),ALG14(0.38),TYW3(0.37),SLC35D1(0.37),SYDE2(0.37),EVI5(0.37),AK3L1(0.37),LMO4(0.37),FRRS1(0.36),CDC14A(0.36),RPL5(0.36),ZNF326(0.35),IGSF3(0.35),CCBL2(0.35),PHTF1(0.35),BCAR3(0.35),DPH5(0.35),ATXN7L2(0.35),PTGFRN(0.34),LRRC39(0.34),CRYZ(0.34),ARHGAP29(0.33),TACSTD2(0.33),PRMT6(0.33),CYP2J2(0.32),RAVER2(0.32),EXTL2(0.32),IFI44(0.32),HHLA3(0.32),CNN3(0.31),TGFBR3(0.31),GSTM4(0.30),WDR78(0.30),CTH(0.30),NFIA(0.29),PTBP2(0.29),DNAJB4(0.29),DDAH1(0.29),SNX7(0.29),CYB561D1(0.29),FAM69A(0.28),GSTM2(0.28),SLC44A3(0.27),ABCA4(0.27),FAM102B(0.26),CSF1(0.26),AMY2B(0.25),GADD45A(0.25),CACHD1(0.25),CDC7(0.25),LRRC8C(0.24),CD58(0.24),PPM1J(0.24),DNAJC6(0.24),PRKAA2(0.23),PALMD(0.23),JUN|(0.23),GBP1(0.23),VTCN1(0.23),SPAG17(0.22),FUBP1(0.21),GBP3(0.21),IFI44L(0.21),SLC16A1(0.21),GBP2(0.21),KCNC4(0.20),DENND2C(0.20),MCOLN2(0.20),TTLL7(0.20),PRKACB(0.20),GNAT2(0.19),VAV3(0.19),SPATA1(0.19),SLC22A15(0.19),SAMD13(0.18),LPHN2(0.18),AMY2A(0.18),FAM46C(0.17),LEPR(0.17),PDE4B(0.17),GSTM3(0.17),ADORA3(0.16),INSL5(0.16),GSTM1(0.16),OVGP1(0.16),AMIGO1(0.15),TMEM56(0.15),GPR177(0.15),GBP6(0.15),F3(0.15),ROR1(0.14),LOC339524(0.14),KIAA1324(0.14),LRRC7(0.13),GBP4(0.13),UBE2U(0.13),OLFM3(0.13),DPYD(0.12),IL12RB2(0.12),TSPAN2(0.12),AMY1A(0.12),C8A(0.12),ALX3(0.12),WNT2B(0.12),MCOLN3(0.12),GBP7(0.12),CHI3L2(0.11),DNASE2B(0.11),CD53(0.11),WDR63(0.11),SYCP1(0.11),SLC16A4(0.10),PPAP2B(0.10),PTPN22(0.10),CASQ2(0.10),FAM19A3(0.09),UBL4B(0.09),IL23R(0.09),HFM1(0.09),PIN1L(0.09),CYR61(0.09),MYBPHL(0.08),SLC44A5(0.08),SYPL2(0.08),MSH4(0.07),TCTEX1D1(0.07),GBP5(0.07),FOXD3(0.07),GIPC2(0.07),GSTM5(0.06),LHX8(0.06),PTGER3(0.06),PTGFR(0.06),NEXN(0.05),DAB1(0.05),CHIA(0.05),COL24A1(0.05),ST6GALNAC5(0.05),SGIP1(0.05),EPS8L3(0.05),TSHB(0.04),PROK1(0.04),ST6GALNAC3(0.04),SYT6(0.04),NTNG1(0.04),TNNI3K(0.04),GPR88(0.03),ASB17(0.03),ANGPTL3(0.03),GPR61(0.03),CLCA2(0.02),RPE65(0.02),AMPD1(0.02),DIRAS3*(0.02),SLC6A17(0.02),CLCA1(0.02),OLFML3(0.01),NHLH2(0.01),CLCA4(0.01),VCAM1(0.01),BARHL2(0.00),LPPR4(0.00),GFI1(0.00),FNDC7(0.00),NEGR1(-0.00),AK5(-0.01),KCNA3(-0.01),C8B(-0.01),KCNA2(-0.02),KCNA10(-0.02),CD2(-0.02),KCND3(-0.03),HSP90B3P(-0.04),ELTD1(-0.04),COL11A1(-0.04),L1TD1(-0.07),BRDT(-0.08),AMY1B(NA),AMY1C(NA),S1PR1(NA),NGF(NA),SNORD21(NA),CD101(NA),CLCA3P(NA),LPAR3(NA),SNORA66(NA),SNORD45B(NA),SNORD45A(NA),ZNHIT6(NA),FGGY(NA),RNPC3(NA),C1orf103(NA),C1orf183(NA),TMEM167B(NA),DLEU2L(NA),RPF1(NA),SIKE1(NA),EFCAB7(NA),C1orf203(NA),C1orf59(NA),C1orf161(NA),C1orf194(NA),C1orf173(NA),LRRIQ3(NA),C1orf87(NA),DRAM2(NA),C1orf88(NA),C1orf162(NA),C1orf52(NA),NBPF4(NA),MGC27382(NA),LOC149620(NA),LPPR5(NA),KANK4(NA),C1orf168(NA),AFARP1(NA),EPHX4(NA),AKNAD1(NA),C1orf146(NA),UOX(NA),C1orf141(NA),LOC400759(NA),MIR101-1(NA),MIR137(NA),MIR186(NA),MIR197(NA),C1orf180(NA),BCL2L15(NA),LOC441897(NA),LOC492303(NA),RBMXL1(NA),CYMP(NA),LOC648740(NA),NBPF6(NA),SCARNA2(NA),SNORD45C(NA),MIR553(NA),LOC729467(NA),MIR942(NA),MIR760(NA),"
chr1,204477622,220287854,Del,1q41    ,chr1:204477622-220287854(probes 59920:65182)    ,chr1:212661563-212686300(probes 62699:62708)    ,chr1:212661563-212769292(probes 62699:62723)    ,0.17853,0.17853,---,---,,,1,59,201,216,12,0.2%,12.1%,41.1%,44.2%,2.5%,97,"RAB3GAP2(0.69),RCOR3(0.67),ANGEL2(0.66),RRP15(0.64),EPRS(0.63),RPS6KC1(0.61),IARS2(0.61),TATDN3(0.56),GPATCH2(0.56),NSL1(0.55),FLVCR1(0.51),BPNT1(0.51),KCTD3(0.49),INTS7(0.46),MAPKAPK2(0.46),YOD1(0.45),LGTN(0.44),PPP2R5A(0.44),SMYD2(0.43),CD46(0.42),LPGAT1(0.42),IRF6(0.40),TRAF5(0.40),PFKFB2(0.40),MOSC1(0.38),NENF(0.37),DYRK3(0.36),PTPN14(0.36),NEK2(0.34),SPATA17(0.33),HHAT(0.32),DTL(0.32),SLC30A1(0.32),CENPF(0.32),TGFB2(0.29),LQK1(0.23),VASH2(0.23),ESRRG(0.22),DUSP10(0.21),LAMB3(0.20),IKBKE(0.19),CD55(0.16),CR2(0.16),CAMK1G(0.15),PLXNA2(0.15),KCNK2(0.14),CR1L(0.13),SERTAD4(0.13),SLC30A10(0.12),ATF3(0.09),RASSF5(0.09),SYT14(0.08),HSD11B1(0.07),LYPLAL1(0.06),USH2A(0.06),MARK1(0.05),MOSC2(0.05),C4BPA(0.05),RD3(0.05),TRAF3IP3(0.04),FAIM3(0.04),IL20(0.03),C4BPB(0.03),CTSE(0.03),G0S2(0.02),FCAMR(0.02),KCNH1(0.01),IL19(0.01),HLX(-0.00),PIGR(-0.00),FAM71A(-0.01),CD34(-0.02),PROX1(-0.02),IL24(-0.02),IL10(-0.03),CR1(-0.04),AURKAPS1(NA),SRGAP2(NA),C1orf107(NA),TMEM206(NA),BATF3(NA),C1orf116(NA),C1orf115(NA),C1orf97(NA),C1orf74(NA),LOC148696(NA),C1orf227(NA),LOC400804(NA),MIR194-1(NA),MIR205(NA),MIR215(NA),MIR29B2(NA),MIR29C(NA),C1orf133(NA),LOC642587(NA),SNORA36B(NA),SNORA16B(NA),"
chr2,189030591,192069072,Amp,2q32.2  ,chr2:189030591-192069072(probes 129559:130634)  ,chr2:190690473-190750028(probes 130133:130148)  ,chr2:186221336-193232607(probes 128915:130922)  ,6.92e-05,0.0082029,---,---,,,0,53,229,182,25,0.0%,10.8%,46.8%,37.2%,5.1%,22,"WDR75(0.60),ORMDL1(0.57),PMS1(0.55),ASNSD1(0.50),OSGEPL1(0.50),HIBCH(0.44),ANKAR(0.41),NAB1(0.39),INPP1(0.29),GLS(0.29),STAT1(0.27),MYO1B(0.19),GULP1(0.10),SLC40A1(0.10),MSTN(0.09),STAT4(0.02),COL3A1(-0.03),COL5A2(-0.04),DIRC1(-0.09),MFSD6(NA),C2orf88(NA),TMEM194B(NA),"
chr2,28497864,28879745,Amp,2p23.2  ,chr2:28497864-28879745(probes 83258:83399)        ,chr2:28765596-28780858(probes 83361:83363)        ,chr2:28649513-28870533(probes 83312:83395)        ,0.051209,0.074312,PPP1CB [2],PPP1CB,,,1,45,229,194,20,0.2%,9.2%,46.8%,39.7%,4.1%,2,"PPP1CB(0.39),PLB1(0.16),"
chr2,113658200,113809678,Amp,2q13    ,chr2:113658200-113809678(probes 107505:107554)  ,chr2:113737207-113767571(probes 107543:107551)  ,chr2:113692731-113813041(probes 107521:107555)  ,0.079957,0.079957,PAX8 [3],PAX8,,,0,73,245,154,17,0.0%,14.9%,50.1%,31.5%,3.5%,3,"PSD4(0.39),PAX8(0.24),LOC654433(NA),"
chr2,176544739,179048787,Amp,2q31.2  ,chr2:176544739-179048787(probes 125865:126811)  ,chr2:178279792-178289652(probes 126476:126477)  ,chr2:176484517-180106456(probes 125841:127218)  ,0.00072013,0.088129,---,---,,,0,50,235,183,21,0.0%,10.2%,48.1%,37.4%,4.3%,25,"MTX2(0.58),PRKRA(0.57),NFE2L2(0.53),AGPS(0.41),TTC30B(0.40),KIAA1715(0.40),TTC30A(0.37),RBM45(0.34),DFNB59(0.32),FKBP7(0.25),PDE11A(0.24),HOXD1(0.16),HOXD4(0.15),HOXD3(0.11),OSBPL6(0.06),HOXD8(0.02),HOXD10(0.02),HOXD9(-0.01),HOXD12(-0.01),HOXD13(-0.02),EVX2(-0.05),HOXD11(-0.06),HNRNPA3(NA),MIR10B(NA),LOC100130691(NA),"
chr2,41813425,68291342,Amp,2p21    ,chr2:41813425-68291342(probes 88572:96877)        ,chr2:47458215-47484388(probes 90758:90777)        ,chr2:47059267-47589876(probes 90593:90826)        ,0.083173,0.1178,---,---,,,1,38,242,192,16,0.2%,7.8%,49.5%,39.3%,3.3%,117,"MTA3(0.59),FBXO11(0.57),PPM1B(0.55),SRBD1(0.50),MTIF2(0.49),THADA(0.48),MCFD2(0.48),PSME4(0.48),ASB3(0.47),SOCS5(0.47),LRPPRC(0.47),PPP3R1(0.47),EML4(0.47),AFTPH(0.46),XPO1(0.45),ETAA1(0.45),MSH2(0.44),CCT4(0.44),PREPL(0.44),CRIPT(0.44),COMMD1(0.43),COX7A2L(0.43),HSPC159(0.43),PAPOLG(0.43),MSH6(0.43),PNPT1(0.43),ACTR2(0.42),ATP6V1E2(0.42),VPS54(0.41),MDH1(0.41),RHOQ(0.41),SMEK2(0.41),DYNC2LI1(0.41),PEX13(0.40),EHBP1(0.40),CALM2(0.40),WDR92(0.40),UGP2(0.40),RAB1A(0.39),CCDC104(0.39),PIGF(0.39),PNO1(0.38),CEP68(0.38),RPS27A(0.38),ACYP2(0.37),USP34(0.37),RTN4(0.37),PRKCE(0.37),SERTAD2(0.36),C1D(0.35),SPRED2(0.35),FANCL(0.34),SPTBN1(0.33),B3GNT2(0.32),FOXN2(0.30),CCDC88A(0.29),PELI1(0.29),CHAC2(0.29),VRK2(0.29),TMEM17(0.28),MEIS1(0.27),TTC7A(0.26),REL|(0.26),AHSA2(0.26),BCL11A(0.24),ZFP36L2(0.24),SLC1A4(0.22),KIAA1841(0.22),GPR75(0.20),PLEKHH2(0.19),STON1(0.19),KCNG3(0.17),STON1-GTF2A1L(0.16),GTF2A1L(0.12),EPAS1(0.10),SIX3(0.09),OTX1(0.08),LHCGR(0.07),EFEMP1(0.07),SLC3A1(0.06),ABCG8(0.06),HAAO(0.05),SIX2(0.05),ABCG5(0.04),TSPYL6(0.02),OXER1(-0.00),CCDC85A(-0.00),KCNK12(-0.02),NRXN1(-0.02),FSHR(-0.04),EPCAM(NA),ERLEC1(NA),C2orf86(NA),RPL23AP32(NA),C2orf34(NA),FAM161A(NA),SGK493(NA),KLRAQ1(NA),C2orf73(NA),C2orf63(NA),PUS10(NA),C2orf61(NA),C2orf74(NA),PRDXDD1P(NA),LOC388946(NA),LOC388955(NA),EML6(NA),MIR216A(NA),MIR217(NA),MIR559(NA),LOC728819(NA),SNORA70B(NA),MIR216B(NA),LOC100129726(NA),LOC100132215(NA),LOC100134259(NA),LOC100302652(NA),"
chr2,234758443,242951149,Del,2q37.3  ,chr2:234758443-242951149(probes 144562:147112)  ,chr2:241884648-241909048(probes 146985:146994)  ,chr2:232285729-242951149(probes 143551:147112)  ,8.74e-07,8.74e-07,2q37.3 [67],2q37.3,,,2,143,215,123,6,0.4%,29.2%,44.0%,25.2%,1.2%,67,"STK25(0.67),ATG4B(0.66),MTERFD2(0.66),ING5(0.61),HDLBP(0.59),ASB1(0.58),SEPT2(0.57),TRAF3IP1(0.57),COPS8(0.55),ILKAP(0.54),PPP1R7(0.53),HDAC4(0.53),THAP4(0.53),NDUFA10(0.52),UBE2F(0.51),FARP2(0.49),SCLY(0.47),LRRFIP1(0.45),SH3BP4(0.44),PASK(0.43),DTYMK(0.43),CAPN10(0.42),DUSP28(0.39),MYEOV2(0.37),ARL4C(0.37),RAB17(0.36),GPC1(0.35),PER2(0.34),ANKMY1(0.30),KIF1A(0.29),D2HGDH(0.29),ESPNL(0.28),RNPEPL1(0.26),GPR35(0.25),CXCR7(0.25),SNED1(0.21),MLPH(0.18),BOK(0.18),NEU4(0.18),HES6(0.17),GAL3ST2(0.16),RBM44(0.16),AQP12B(0.13),OTOS(0.06),RAMP1(0.06),KLHL30(0.04),COL6A3(0.03),GBX2(0.01),MGC16025(0.01),AQP12A(-0.06),AGXT(-0.06),OR6B3(-0.08),PRLH(-0.08),PDCD1(-0.09),ANO7(NA),IQCA1(NA),C2orf54(NA),AGAP1(NA),LOC151174(NA),C2orf85(NA),OR6B2(NA),ASB18(NA),MIR149(NA),LOC643387(NA),PRR21(NA),LOC728323(NA),PP14571(NA),"
chr2,141666036,141705031,Del,2q22.1  ,chr2:141666036-141705031(probes 114813:114826)  ,chr2:141685846-141691410(probes 114822:114822)  ,chr2:141477959-141833935(probes 114728:114881)  ,0.0023869,0.0023869,LRP1B [1],LRP1B,,,19,120,210,126,14,3.9%,24.5%,42.9%,25.8%,2.9%,1,"LRP1B(0.07),"
chr3,170150840,170280412,Amp,3q26.2  ,chr3:170150840-170280412(probes 198624:198642)  ,chr3:170249939-170257948(probes 198635:198635)  ,chr3:149545155-199501827(probes 192891:208624)  ,8e-63,3.28e-56,MECOM [0],MECOM,,MECOM,0,3,75,279,129,0.0%,0.6%,15.4%,57.4%,26.5%,0,[MECOM^(NA)]
chr3,193926747,199501827,Amp,3q29    ,chr3:193926747-199501827(probes 206733:208624)  ,chr3:197000348-197045818(probes 207790:207796)  ,chr3:149545155-199501827(probes 192891:208624)  ,2.61e-21,2.7e-08,3q29 [59],3q29,,,2,38,109,264,76,0.4%,7.8%,22.3%,54.0%,15.5%,59,"NCBP2(0.72),LSG1(0.72),WDR53(0.71),PAK2(0.66),OPA1(0.66),DLG1(0.66),LRCH3(0.64),RNF168(0.63),PPP1R2(0.62),FYTTD1(0.62),KIAA0226(0.62),LOC152217(0.60),SENP5(0.59),PCYT1A(0.59),RPL35A(0.57),PIGX(0.57),ATP13A3(0.54),LMLN(0.50),SDHALP2(0.47),BDH1(0.46),TMEM44(0.43),HRASLS(0.40),TNK2(0.39),IQCG(0.38),MUC20(0.35),TFRC(0.34),PIGZ(0.32),FAM43A(0.22),MFI2(0.21),FGF12(0.19),MUC4(0.14),LRRC33(0.09),HES1(0.07),APOD(0.04),ATP13A5(0.02),ZDHHC19(0.01),LRRC15(-0.01),TM4SF19(-0.03),LOC348840(-0.04),ATP13A4(-0.04),GP5(-0.07),CPN2(-0.08),ACAP2(NA),UBXN7(NA),MGC2889(NA),C3orf34(NA),C3orf59(NA),C3orf21(NA),OSTalpha(NA),FBXO45(NA),LOC220729(NA),TCTEX1D2(NA),C3orf43(NA),SDHALP1(NA),MIR570(NA),FAM157A(NA),MIR922(NA),LOC100128023(NA),LOC100131551(NA),"
chr3,109082368,109306668,Amp,3q13.12 ,chr3:109082368-109306668(probes 179461:179547)  ,chr3:109154923-109222485(probes 179493:179506)  ,chr3:108341246-111239709(probes 179195:180172)  ,4.89e-05,4.89e-05,CD47 [2],CD47,,,0,26,198,234,31,0.0%,5.3%,40.5%,47.9%,6.3%,2,"CD47(0.38),LOC285205(0.06),"
chr3,117999463,118098130,Del,3q13.31 ,chr3:117999463-118098130(probes 182506:182519)  ,chr3:118066405-118079089(probes 182515:182516)  ,chr3:117868467-118236377(probes 182470:182550)  ,0.00071826,0.00071826,3q13.31 [0],3q13.31 ,,,13,56,183,221,13,2.7%,11.5%,37.7%,45.5%,2.7%,0,[LOC285194(-0.10842)]
chr3,75428992,76088380,Del,3p12.3  ,chr3:75428992-76088380(probes 171961:171979)      ,chr3:76061068-76070314(probes 171974:171974)      ,chr3:75445865-76091013(probes 171962:171981)      ,0.0015444,0.0015444,3p12.3 [3],3p12.3 ,,,2,173,207,99,8,0.4%,35.4%,42.3%,20.2%,1.6%,3,"FAM86D(NA),ZNF717(NA),FRG2C(NA),"
chr3,1,9517825,Del,3p26.3  ,chr3:1-9517825(probes 147113:149937)                 ,chr3:400942-468603(probes 147202:147229)              ,chr3:1-6141412(probes 147113:148885)                 ,0.0018321,0.0018321,---,---,,,0,173,221,86,9,0.0%,35.4%,45.2%,17.6%,1.8%,26,"ARL8B(0.60),TRNT1(0.58),THUMPD3(0.56),RAD18(0.53),SETD5(0.49),EDEM1(0.49),SUMF1(0.49),CRBN(0.46),SETMAR(0.40),SRGAP3(0.37),CHL1(0.26),LMCD1(0.21),OXTR(0.20),ITPR1(0.20),LOH3CR2A(0.18),IL5RA(0.13),CNTN4(0.09),LRRN1(0.07),CNTN6(0.05),LHFPL4(0.04),CAV3(0.03),GRM7(-0.06),BHLHE40(NA),C3orf32(NA),LOC440944(NA),EGOT(NA),"
chr4,72652676,75999993,Amp,4q13.3  ,chr4:72652676-75999993(probes 226887:227824)      ,chr4:74349690-74358603(probes 227353:227354)      ,chr4:71842775-77138383(probes 226584:228190)      ,5.16e-06,5.16e-06,4q13.3(ANKRD17) [26],4q13.3(ANKRD17),,,0,217,176,77,19,0.0%,44.4%,36.0%,15.7%,3.9%,26,"COX18(0.68),ANKRD17(0.63),MTHFD2L(0.52),BTC(0.43),AREG(0.33),ADAMTS3(0.30),RASSF6(0.22),EREG(0.17),IL8(0.16),CXCL2(0.14),CXCL3(0.14),AFP(0.10),AFM(0.09),CXCL5(0.09),NPFFR2(0.09),ALB(0.07),EPGN(0.07),CXCL1(0.06),PF4(0.06),PF4V1(0.05),SLC4A4(0.03),GC(0.03),CXCL6(0.03),PPBPL2(0.02),PPBP(0.01),PPBPL1(NA),"
chr4,1699241,1763076,Amp,4p16.3  ,chr4:1699241-1763076(probes 209112:209125)          ,chr4:1715308-1740300(probes 209117:209119)          ,chr4:418733-2997908(probes 208703:209607)            ,1.65e-05,1.65e-05,TACC3 [1],TACC3,,,1,190,157,119,22,0.2%,38.9%,32.1%,24.3%,4.5%,1,"TACC3(0.49),"
chr4,182346394,182458181,Del,4q34.3  ,chr4:182346394-182458181(probes 257621:257633)  ,chr4:182426238-182453195(probes 257632:257632)  ,chr4:151199403-191273063(probes 249054:260402)  ,2.2e-31,2.2e-31,4q34.3 [0],4q34.3 ,,,12,331,110,31,2,2.5%,68.1%,22.6%,6.4%,0.4%,0,[MGC45800(0.05425)]
chr4,89731957,117654338,Del,4q23    ,chr4:89731957-117654338(probes 232721:240978)    ,chr4:100986867-101044065(probes 235994:236019)  ,chr4:81744800-119646259(probes 229932:241420)    ,1.83e-09,1.83e-09,4q23 [105],4q23,,,5,326,121,36,1,1.0%,66.7%,24.7%,7.4%,0.2%,105,"SEC24B(0.67),LARP7(0.59),DNAJB14(0.58),UBE2D3(0.57),SMARCAD1(0.57),INTS12(0.56),CASP6(0.54),ALPK1(0.54),RAP1GDS1(0.53),METAP1(0.52),GSTCD(0.52),PLA2G12A(0.51),HADH(0.50),TIFA(0.50),TIGD2(0.49),EIF4E(0.48),PPA2(0.48),PAPSS1(0.47),NFKB1(0.45),ELOVL6(0.45),CISD2(0.44),SGMS2(0.44),ADH5(0.44),RPL34(0.43),RG9MTD2(0.42),BDH2(0.41),CCDC109B(0.40),H2AFZ(0.40),MANBA(0.40),PDLIM5(0.38),CAMK2D(0.35),NAP1L5(0.35),CYP2U1(0.34),PPP3CA(0.34),CFI(0.33),DAPP1(0.33),UGT8(0.32),EGF(0.30),SNCA(0.30),CENPE(0.28),BMPR1B(0.27),BANK1(0.25),NHEDC2(0.21),HERC3(0.21),RRH(0.21),MTTP(0.18),NHEDC1(0.17),ENPEP(0.17),CXXC4(0.16),ADH6(0.15),SLC39A8(0.14),ARSJ(0.13),LRIT3(0.13),PITX2(0.12),DDIT4L(0.12),TSPAN5(0.10),LEF1(0.09),COL25A1(0.08),NPNT(0.07),PDHA2(0.07),GPRIN3(0.07),UNC5C(0.06),TACR3(0.06),ANK2(0.06),GRID2(0.06),DKK2(0.06),NEUROG2(0.05),MMRN1(0.05),TMSL3(0.05),FLJ20184(0.04),AGXT2L1(0.03),ADH7(0.03),ADH1A(0.03),ATOH1(0.03),ADH1C(0.02),EMCN(0.02),ADH4(0.02),ADH1B(-0.01),NDST4(-0.01),MAPKSP1(NA),AIMP1(NA),FAM13A(NA),HPGDS(NA),GAR1(NA),TET2(NA),C4orf21(NA),AP1AR(NA),OSTC(NA),C4orf17(NA),TBCK(NA),C4orf32(NA),LOC256880(NA),LOC285456(NA),FAM13AOS(NA),C4orf37(NA),PCNAP1(NA),FAM190A(NA),MIR302A(NA),EEF1AL7(NA),MIR302B(NA),MIR302C(NA),MIR302D(NA),MIR367(NA),LOC641518(NA),MIR577(NA),"
chr5,327309,1501683,Amp,5p15.33 ,chr5:327309-1501683(probes 260438:260653)            ,chr5:1194941-1212857(probes 260552:260554)          ,chr5:1-17221443(probes 260403:265314)               ,7.01e-09,7.01e-09,5p15.33(TERT) [19],5p15.33(TERT),,,0,57,173,214,45,0.0%,11.7%,35.4%,43.8%,9.2%,19,"CLPTM1L(0.69),EXOC3(0.64),PDCD6(0.64),BRD9(0.60),TRIP13(0.54),CEP72(0.50),SLC12A7(0.49),ZDHHC11(0.24),TPPP(0.23),AHRR(0.21),NKD2(0.09),TERT(0.08),SLC6A19(0.06),SLC9A3(0.05),SLC6A3(0.04),SLC6A18(0.03),LOC25845(NA),C5orf55(NA),LOC100310782(NA),"
chr5,21598644,45107526,Amp,5p13.2  ,chr5:21598644-45107526(probes 266169:272334)      ,chr5:36577534-36587993(probes 269900:269900)      ,chr5:36577534-36609389(probes 269900:269903)      ,0.24065,0.24065,5p13.2(SKP2) [80],5p13.2(SKP2),,,0,51,216,196,26,0.0%,10.4%,44.2%,40.1%,5.3%,80,"MTMR12(0.60),WDR70(0.60),SUB1(0.60),GOLPH3(0.60),PAIP1(0.59),ZNF131(0.58),TARS(0.57),LMBRD2(0.56),NIPBL(0.56),RAD1(0.54),NUP155(0.52),RNASEN(0.49),RICTOR(0.49),PRKAA1(0.48),MRPS30(0.46),RPL37(0.45),AMACR(0.45),NNT(0.43),TTC33(0.41),SKP2|(0.40),ZFR(0.40),HMGCS1(0.38),LIFR(0.37),OXCT1(0.36),CCL28(0.32),FBXO4(0.31),RAI14(0.30),PRLR(0.23),SLC1A3(0.23),PDZD2(0.22),PTGER4(0.22),CDH12(0.20),MGC42105(0.19),SEPP1(0.19),OSMR(0.18),CDH6(0.17),CARD6(0.15),SPEF2(0.13),NPR3(0.13),LOC153684(0.12),C9(0.11),CDH9(0.10),C1QTNF3(0.10),UGT3A2(0.09),EGFLAM(0.08),PLCXD3(0.08),SLC45A2(0.06),GDNF(0.06),AGXT2(0.05),UGT3A1(0.04),GHR(0.04),CAPSL(0.04),FGF10(0.03),ADAMTS12(0.03),FYB(0.03),RXFP3(0.01),C7(0.00),PRDM9(-0.01),C6(-0.01),CDH10(-0.02),DAB2*(-0.03),PMCHL1(-0.03),IL7R(-0.04),RANBP3L(-0.07),BRIX1(NA),C5orf22(NA),C5orf28(NA),C5orf42(NA),C5orf23(NA),HEATR7B2(NA),C5orf33(NA),DNAJC21(NA),TTC23L(NA),C5orf51(NA),C5orf34(NA),C5orf39(NA),SNORD72(NA),MIR580(NA),LOC728411(NA),CCDC152(NA),"
chr5,56048896,58137258,Del,5q11.2  ,chr5:56048896-58137258(probes 274387:274881)      ,chr5:56511641-56525310(probes 274491:274493)      ,chr5:45930998-123826216(probes 272587:292622)    ,4.14e-40,4.92e-14,5q11.2 [8],5q11.2,,,24,271,170,24,0,4.9%,55.4%,34.8%,4.9%,0.0%,8,"GPBP1(0.63),MIER3(0.58),MAP3K1(0.44),PLK2(0.27),RAB3C(0.01),C5orf35(NA),GAPT(NA),ACTBL2(NA),"
