chrom	start	end	Gene
chr1	40342850	40345049	SMAP2
chr1	40448102	40450301	ZFP69B
chr1	41023038	41025237	SLFNL1
chr1	41239772	41241971	SCMH1
chr1	41242107	41244306	SCMH1
chr1	42335678	42337877	FOXJ3
chr1	42454117	42456316	PPCS
chr1	42456054	42458253	PPCS
chr1	42765245	42767444	P3H1
chr1	42766885	42769084	P3H1
chr1	42844573	42846772	ZNF691
chr1	42846223	42848422	ZNF691
chr1	43143153	43145352	CFAP144
chr1	43170330	43172529	EBNA1BP2
chr1	43171513	43173712	EBNA1BP2
chr1	43335818	43338017	MPL
chr1	43364516	43366715	ELOVL1
chr1	43367875	43370074	ELOVL1
chr1	43383113	43385312	MED8
chr1	43387882	43390081	MED8
chr1	43389609	43391808	MED8
chr1	43387882	43390081	SZT2
chr1	43389609	43391808	SZT2
chr1	43446539	43448738	SZT2
chr1	43448445	43450644	SZT2
chr1	43451927	43454126	SZT2
chr1	43453790	43455989	SZT2
chr1	43707939	43710138	ST3GAL3
chr1	43727144	43729343	ST3GAL3
chr1	43836622	43838821	ST3GAL3
chr1	44028414	44030613	SLC6A9
chr1	44031268	44033467	SLC6A9
chr1	44141432	44143631	KLF18
chr1	44211455	44213654	DMAP1
chr1	44403194	44405393	RNF220
chr1	44543493	44545692	RNF220
chr1	44672692	44674891	LOC107984950
chr1	44674278	44676477	LOC107984950
chr1	44674282	44676481	LOC107984950
chr1	44672692	44674891	ARMH1
chr1	44674278	44676477	ARMH1
chr1	44674282	44676481	ARMH1
chr1	44721703	44723902	ARMH1
chr1	44986523	44988722	EIF2B3
chr1	45338052	45340251	MUTYH
chr1	45498300	45500499	CCDC163
chr1	45499880	45502079	CCDC163
chr1	45548543	45550742	AKR1A1
chr1	45581846	45584045	NASP
chr1	45623858	45626057	CCDC17
chr1	45750454	45752653	IPP
chr1	46132531	46134730	PIK3R3
chr1	46132837	46135036	PIK3R3
chr1	46132531	46134730	P3R3URF-PIK3R3
chr1	46132837	46135036	P3R3URF-PIK3R3
chr1	46173073	46175272	P3R3URF-PIK3R3
chr1	46176289	46178488	P3R3URF-PIK3R3
chr1	46176289	46178488	P3R3URF-PIK3R3
chr1	46201334	46203533	POMGNT1
chr1	46220106	46222305	POMGNT1
chr1	46666855	46669054	ATPAF1
chr1	46666855	46669054	TEX38
chr1	46672036	46674235	TEX38
chr1	46796998	46799197	CYP4B1
chr1	47190845	47193044	PDZK1IP1
chr1	48220685	48222884	SLC5A9
chr1	48472009	48474208	SPATA6
chr1	50958745	50960944	CDKN2C
chr1	50960068	50962267	CDKN2C
chr1	50968353	50970552	CDKN2C
chr1	51327654	51329853	TTC39A
chr1	51344917	51347116	TTC39A
chr1	51575179	51577378	OSBPL9
chr1	51594698	51596897	OSBPL9
chr1	51724697	51726896	OSBPL9
chr1	52366006	52368205	CC2D1B
chr1	52840511	52842710	ZYG11A
chr1	53457399	53459598	DMRTB1
chr1	53944085	53946284	IFT25
chr1	53945500	53947699	IFT25
chr1	54017987	54020186	LDLRAD1
chr1	54182041	54184240	CYB5RL
chr1	54199874	54202073	MRPL37
chr1	54623357	54625556	ACOT11
chr1	54804063	54806262	LEXM
chr1	55037447	55039646	PCSK9
chr1	59296292	59298491	FGGY
chr1	59733097	59735296	FGGY
chr1	60073571	60075770	C1orf87
chr1	60863259	60865458	NFIA
chr1	60867810	60870009	NFIA
chr1	60970577	60972776	NFIA
chr1	61056686	61058885	NFIA
chr1	61253311	61255510	NFIA
chr1	61725224	61727423	TM2D1
chr1	61740477	61742676	PATJ
chr1	62076786	62078985	PATJ
chr1	62078657	62080856	PATJ
chr1	62434297	62436496	USP1
chr1	62595520	62597719	DOCK7
chr1	62688187	62690386	DOCK7
chr1	64201623	64203822	UBE2U
chr1	64743075	64745274	RAVER2
chr1	65145549	65147748	AK4
chr1	65306322	65308521	DNAJC6
chr1	65308302	65310501	DNAJC6
chr1	65790514	65792713	PDE4B
chr1	66050519	66052718	PDE4B
chr1	66922895	66925094	MIER1
chr1	66924657	66926856	MIER1
chr1	67102580	67104779	C1orf141
chr1	67136907	67139106	C1orf141
chr1	67231654	67233853	C1orf141
chr1	67136907	67139106	IL23R
chr1	67231654	67233853	IL23R
chr1	67305364	67307563	IL12RB2
chr1	67430216	67432415	SERBP1
chr1	68183411	68185610	WLS
chr1	68494676	68496875	DEPDC1
chr1	68497022	68499221	DEPDC1
chr1	69917322	69919521	LRRC7
chr1	70031023	70033222	LRRC7
chr1	70203682	70205881	SRSF11
chr1	70205380	70207579	SRSF11
chr1	70352786	70354985	HHLA3
chr1	70354535	70356734	HHLA3
chr1	70360238	70362437	HHLA3
chr1	70409218	70411417	CTH
chr1	71046855	71049054	PTGER3
chr1	71047617	71049816	PTGER3
chr1	74731152	74733351	CRYZ
chr1	74733209	74735408	CRYZ
chr1	74731152	74733351	TYW3
chr1	74733209	74735408	TYW3
chr1	75126434	75128633	LHX8
chr1	77217520	77219719	PIGK
chr1	77219231	77221430	PIGK
chr1	77683220	77685419	ZZZ3
chr1	77759653	77761852	USP33
chr1	77777624	77779823	MIGA1
chr1	77886513	77888712	NEXN
chr1	77889340	77891539	NEXN
chr1	77977175	77979374	FUBP1
chr1	77977542	77979741	FUBP1
chr1	77978911	77981110	FUBP1
chr1	77978911	77981110	DNAJB4
chr1	78301884	78304083	PTGFR
chr1	81304147	81306346	ADGRL2
chr1	81557503	81559702	ADGRL2
chr1	84076062	84078261	PRKACB
chr1	84997147	84999346	DNAI3
chr1	85048301	85050500	DNAI3
chr1	85131794	85133993	DNAI3
chr1	85708234	85710433	ZNHIT6
chr1	86357488	86359687	ODF2L
chr1	86396143	86398342	ODF2L
chr1	86466368	86468567	CLCA1
chr1	86545078	86547277	CLCA4
chr1	86702570	86704769	SH3GLB1
chr1	86704285	86706484	SH3GLB1
chr1	86991009	86993208	LINC01140
chr1	88992754	88994953	RBMXL1
chr1	88992761	88994960	RBMXL1
chr1	89522829	89525028	LRRC8B
chr1	89525273	89527472	LRRC8B
chr1	89993110	89995309	ZNF326
chr1	89994122	89996321	ZNF326
chr1	91906136	91908335	TGFBR3
chr1	91947343	91949542	BRDT
chr1	92792205	92794404	EVI5
chr1	92835289	92837488	DIPK1A
chr1	92838719	92840918	DIPK1A
chr1	92961323	92963522	DIPK1A
chr1	93077235	93079434	MTF2
chr1	93177919	93180118	CCDC18
chr1	93180317	93182516	CCDC18
chr1	93589966	93592165	BCAR3
chr1	93844832	93847031	BCAR3
chr1	93846951	93849150	BCAR3
chr1	95115923	95118122	TLCD4-RWDD3
chr1	95149377	95151576	TLCD4-RWDD3
chr1	95233783	95235982	TLCD4-RWDD3
chr1	96719665	96721864	PTBP2
chr1	98659701	98661900	SNX7
chr1	99002276	99004475	PLPPR5
chr1	99968011	99970210	MFSD14A
chr1	100178074	100180273	LRRC39
chr1	100249635	100251834	DBT
chr1	100717742	100719941	VCAM1
chr1	100894076	100896275	SLC30A7
chr1	100894980	100897179	SLC30A7
chr1	103523691	103525890	RNPC3
chr1	103525312	103527511	RNPC3
chr1	103551815	103554014	RNPC3
chr1	103567553	103569752	AMY2B
chr1	103696255	103698454	AMY1B
chr1	108558089	108560288	EEIG2
chr1	108659533	108661732	HENMT1
chr1	108661327	108663526	HENMT1
chr1	108873350	108875549	GPSM2
chr1	108963285	108965484	CLCC1
chr1	108963328	108965527	CLCC1
chr1	109041914	109044113	WDR47
chr1	109111679	109113878	CFAP276
chr1	109113658	109115857	CFAP276
chr1	109282987	109285186	PSRC1
chr1	109492052	109494251	ATXN7L2
chr1	109492052	109494251	CYB561D1
chr1	109537872	109540071	GPR61
chr1	109546615	109548814	GPR61
chr1	109614104	109616303	GNAT2
chr1	109619730	109621929	GNAT2
chr1	109619730	109621929	AMPD2
chr1	109666022	109668221	GSTM2
chr1	109685814	109688013	GSTM2
chr1	109685814	109688013	GSTM1
chr1	109763828	109766027	EPS8L3
chr1	110029577	110031776	STRIP1
chr1	110209788	110211987	KCNC4
chr1	110407743	110409942	LAMTOR5
chr1	110518976	110521175	KCNA10
chr1	110631275	110633474	KCNA2
chr1	111137479	111139678	CEPT1
chr1	111140004	111142203	CEPT1
chr1	111198771	111200970	DENND2D
chr1	111204336	111206535	DENND2D
chr1	111198771	111200970	CHI3L2
chr1	111204336	111206535	CHI3L2
chr1	111288851	111291050	CHIA
chr1	111471792	111473991	C1orf162
chr1	111503434	111505633	TMIGD3
chr1	111540218	111542417	TMIGD3
chr1	111563763	111565962	TMIGD3
chr1	111540218	111542417	RAP1A
chr1	111563763	111565962	RAP1A
chr1	111608524	111610723	RAP1A
chr1	111737579	111739778	INKA2
chr1	111752832	111755031	INKA2
chr1	111755310	111757509	INKA2
chr1	111755625	111757824	INKA2
chr1	111856706	111858905	KCND3
chr1	111907336	111909535	KCND3
chr1	111988536	111990735	KCND3
chr1	112711025	112713224	PPM1J
chr1	113810379	113812578	RSBN1
chr1	113812277	113814476	RSBN1
chr1	113902619	113904818	AP4B1
chr1	113905002	113907201	AP4B1
chr1	113927324	113929523	HIPK1
chr1	113929296	113931495	HIPK1
chr1	113977391	113979590	HIPK1
chr1	113977391	113979590	OLFML3
chr1	114581430	114583629	DENND2C
chr1	114780486	114782685	SIKE1
chr1	116667556	116669755	IGSF3
chr1	116999750	117001949	CD101
chr1	117210761	117212960	VTCN1
chr1	117365449	117367648	MAN1A2
chr1	118989357	118991556	TBX15
chr1	119366779	119368978	HAO2
chr1	119366946	119369145	HAO2
chr1	119412931	119415130	HSD3B2
chr1	120721912	120724111	NBPF26
chr1	120721949	120724148	NBPF26
chr1	121182811	121185010	FAM72B
chr1	121185340	121187539	FAM72B
chr1	144461477	144463676	NBPF15
chr1	145093974	145096173	SRGAP2B
chr1	145095329	145097528	SRGAP2B
chr1	145717471	145719670	CD160
chr1	145822053	145824252	POLR3C
chr1	145823896	145826095	POLR3C
chr1	145885667	145887866	ANKRD35
chr1	145925236	145927435	POLR3GL
chr1	145927479	145929678	POLR3GL
chr1	145957818	145960017	POLR3GL
chr1	145964376	145966575	POLR3GL
chr1	146036547	146038746	HJV
chr1	146228801	146231000	NOTCH2NLA
chr1	146228842	146231041	NOTCH2NLA
chr1	147773163	147775362	GJA5
chr1	148152123	148154322	NBPF11
chr1	148595812	148598011	NOTCH2NLB
chr1	148679547	148681746	NOTCH2NLB
chr1	149103362	149105561	NBPF9
chr1	149388621	149390820	NBPF19
chr1	149388623	149390822	NBPF19
chr1	149780671	149782870	H2BC18
chr1	149792821	149795020	H2BC18
chr1	149812174	149814373	H2BC18
chr1	149885890	149888089	BOLA1
chr1	149886483	149888682	BOLA1
chr1	149887766	149889965	BOLA1
chr1	150147183	150149382	PLEKHO1
chr1	150157405	150159604	PLEKHO1
chr1	150266200	150268399	APH1A
chr1	150269104	150271303	APH1A
chr1	150266200	150268399	C1orf54
chr1	150269104	150271303	C1orf54
chr1	150280543	150282742	C1orf54
chr1	150280543	150282742	CIART
chr1	150547369	150549568	ADAMTSL4
chr1	150549929	150552128	ADAMTSL4
chr1	150557525	150559724	ADAMTSL4
chr1	150574353	150576552	MCL1
chr1	150579539	150581738	MCL1
chr1	150627814	150630013	ENSA
chr1	150629413	150631612	ENSA
chr1	150696955	150699154	HORMAD1
chr1	150720696	150722895	HORMAD1
chr1	150885136	150887335	CTXND2
chr1	150924263	150926462	SETDB1
chr1	151006420	151008619	MINDY1
chr1	151008177	151010376	MINDY1
chr1	151058397	151060596	CDC42SE1
chr1	151068578	151070777	CDC42SE1
chr1	151070126	151072325	CDC42SE1
chr1	151154649	151156848	TNFAIP8L2-SCNM1
chr1	151154664	151156863	TNFAIP8L2-SCNM1
chr1	151164022	151166221	TNFAIP8L2-SCNM1
chr1	151165749	151167948	TNFAIP8L2-SCNM1
chr1	151327516	151329715	PI4KB
chr1	151344938	151347137	RFX5
chr1	151347127	151349326	RFX5
chr1	151708433	151710632	RIIAD1
chr1	151716604	151718803	RIIAD1
chr1	151760899	151763098	OAZ3
chr1	151763297	151765496	OAZ3
chr1	151788804	151791003	TDRKH
chr1	151839877	151842076	C2CD4D
chr1	151840358	151842557	C2CD4D
chr1	152159029	152161228	RPTN
chr1	152359807	152362006	FLG2
chr1	152414064	152416263	CRNN
chr1	152806452	152808651	LCE1C
chr1	152999747	153001946	SPRR3
chr1	153041732	153043931	SPRR2D
chr1	153105985	153108184	SPRR2E
chr1	153348642	153350841	PGLYRP4
chr1	153536045	153538244	S100A6
chr1	153536045	153538244	S100A5
chr1	153541566	153543765	S100A5
chr1	153541566	153543765	S100A4
chr1	153549059	153551258	S100A4
chr1	153549937	153552136	S100A4
chr1	153612946	153615145	S100A14
chr1	153616787	153618986	S100A14
chr1	153625926	153628125	S100A1
chr1	153631982	153634181	S100A1
chr1	153631982	153634181	CHTOP
chr1	153634198	153636397	CHTOP
chr1	153670829	153673028	ILF2
chr1	153958416	153960615	SLC39A1
chr1	153962221	153964420	SLC39A1
chr1	153965534	153967733	SLC39A1
chr1	154206134	154208333	C1orf43
chr1	154218179	154220378	C1orf43
chr1	154220438	154222637	C1orf43
chr1	154220438	154222637	UBAP2L
chr1	154257727	154259926	UBAP2L
chr1	154270355	154272554	UBAP2L
chr1	154500219	154502418	TDRD10
chr1	154502213	154504412	TDRD10
chr1	154955924	154958123	PBXIP1
chr1	154963654	154965853	SHC1
chr1	154972653	154974852	SHC1
chr1	154973693	154975892	SHC1
chr1	154974196	154976395	SHC1
chr1	154972653	154974852	CKS1B
chr1	154973693	154975892	CKS1B
chr1	154974196	154976395	CKS1B
chr1	154981338	154983537	FLAD1
chr1	154991586	154993785	FLAD1
chr1	155061737	155063936	EFNA3
chr1	155061748	155063947	EFNA3
chr1	155171787	155173986	TRIM46
chr1	155187073	155189272	MUC1
chr1	155192717	155194916	MUC1
chr1	155306748	155308947	FDPS
chr1	155318894	155321093	FDPS
chr1	155318894	155321093	RUSC1
chr1	155323977	155326176	RUSC1
chr1	155346246	155348445	ASH1L
chr1	155431178	155433377	ASH1L
chr1	155560026	155562225	ASH1L
chr1	155561235	155563434	ASH1L
chr1	155685960	155688159	YY1AP1
chr1	155688801	155691000	YY1AP1
chr1	155685960	155688159	DAP3
chr1	155688801	155691000	DAP3
chr1	155857567	155859766	GON4L
chr1	155859201	155861400	GON4L
chr1	155951137	155953336	ARHGEF2
chr1	155976799	155978998	ARHGEF2
chr1	155989390	155991589	ARHGEF2
chr1	156080573	156082772	LMNA
chr1	156082266	156084465	LMNA
chr1	156191932	156194131	SLC25A44
chr1	156210982	156213181	SLC25A44
chr1	156210993	156213192	SLC25A44
chr1	156210982	156213181	PMF1-BGLAP
chr1	156210993	156213192	PMF1-BGLAP
chr1	156240184	156242383	PMF1-BGLAP
chr1	156210982	156213181	PMF1
chr1	156210993	156213192	PMF1
chr1	156247918	156250117	PAQR6
chr1	156247918	156250117	SMG5
chr1	156280935	156283134	SMG5
chr1	156280935	156283134	TMEM79
chr1	156291351	156293550	TMEM79
chr1	156291351	156293550	GLMP
chr1	156295490	156297689	GLMP
chr1	156335314	156337513	CCT3
chr1	156367211	156369410	CCT3
chr1	156367674	156369873	CCT3
chr1	156335314	156337513	TSACC
chr1	156705617	156707816	CRABP2
chr1	156726442	156728641	ISG20L2
chr1	156726442	156728641	METTL25B
chr1	156728567	156730766	METTL25B
chr1	156741391	156743590	MRPL24
chr1	156741391	156743590	HDGF
chr1	156748610	156750809	HDGF
chr1	156891698	156893897	PEAR1
chr1	157776933	157779132	FCRL2
chr1	157819921	157822120	FCRL1
chr1	157991273	157993472	KIRREL1
chr1	158023550	158025749	KIRREL1
chr1	158351696	158353895	CD1E
chr1	159201307	159203506	ACKR1
chr1	159287714	159289913	FCER1A
chr1	159714390	159716589	CRP
chr1	159778932	159781131	DUSP23
chr1	159779184	159781383	DUSP23
chr1	159798511	159800710	FCRL6
chr1	159851773	159853972	SNHG28
chr1	159852870	159855069	SNHG28
chr1	159852870	159855069	VSIG8
chr1	160031791	160033990	LOC124904436
chr1	160069937	160072136	LOC124904436
chr1	160069961	160072160	LOC124904436
chr1	160098744	160100943	IGSF8
chr1	160523063	160525262	SLAMF6
chr1	160579317	160581516	CD84
chr1	160737057	160739256	SLAMF7
chr1	160794074	160796273	LY9
chr1	161038763	161040962	USF1
chr1	161038778	161040977	USF1
chr1	161045778	161047977	USF1
chr1	161045778	161047977	ARHGAP30
chr1	161069771	161071970	ARHGAP30
chr1	161116086	161118285	NIT1
chr1	161117856	161120055	NIT1
chr1	161132489	161134688	DEDD
chr1	161177769	161179968	B4GALT3
chr1	161198855	161201054	NDUFS2
chr1	161213234	161215433	NDUFS2
chr1	161213234	161215433	FCER1G
chr1	161223432	161225631	APOA2
chr1	161223939	161226138	TOMM40L
chr1	161225186	161227385	TOMM40L
chr1	161631257	161633456	FCGR3B
chr1	161631764	161633963	FCGR3B
chr1	161704972	161707171	FCRLA
chr1	162364908	162367107	NOS1AP
chr1	162376655	162378854	NOS1AP
chr1	162364908	162367107	C1orf226
chr1	162376655	162378854	C1orf226
chr1	162495251	162497450	UHMK1
chr1	163066775	163068974	RGS4
chr1	163159675	163161874	RGS5
chr1	163264576	163266775	RGS5
chr1	163321695	163323894	RGS5
chr1	163264576	163266775	NUF2
chr1	163321695	163323894	NUF2
chr1	165208627	165210826	LMX1A
chr1	165213951	165216150	LMX1A
chr1	165356516	165358715	LMX1A
chr1	165445156	165447355	RXRG
chr1	165629213	165631412	MGST3
chr1	165766929	165769128	TMCO1
chr1	165825614	165827813	TMCO1
chr1	165827556	165829755	TMCO1
chr1	166079183	166081382	FAM78B
chr1	166154599	166156798	FAM78B
chr1	166163852	166166051	FAM78B
chr1	166166802	166169001	FAM78B
chr1	166973582	166975781	MAEL
chr1	166975341	166977540	MAEL
chr1	167092075	167094274	GPA33
chr1	167166280	167168479	GPA33
chr1	167914016	167916215	ADCY10
chr1	167933783	167935982	MPC2
chr1	167936873	167939072	DCAF6
chr1	167996660	167998859	DCAF6
chr1	168137468	168139667	GPR161
chr1	169103697	169105896	ATP1B1
chr1	169365970	169368169	BLZF1
chr1	169367749	169369948	BLZF1
chr1	169460470	169462669	CCDC181
chr1	169733880	169736079	LOC101928628
chr1	169764506	169766705	LOC101928628
chr1	171246471	171248670	FMO1
chr1	171251658	171253857	FMO1
chr1	171483530	171485729	PRRC2C
chr1	171598621	171600820	MYOCOS
chr1	171779660	171781859	METTL13
chr1	172530349	172532548	SUCO
chr1	173822653	173824852	CENPL
chr1	174157410	174159609	RABGAP1L
chr1	174159966	174162165	RABGAP1L
chr1	174445964	174448163	RABGAP1L
chr1	174954062	174956261	RABGAP1L
chr1	174997163	174999362	CACYBP
chr1	175023226	175025425	MRPS14
chr1	175192800	175194999	KIAA0040
chr1	177029246	177031445	ASTN1
chr1	177164774	177166973	ASTN1
chr1	178511109	178513308	TEX35
chr1	178512852	178515051	TEX35
chr1	179080070	179082269	TOR3A
chr1	179291714	179293913	SOAT1
chr1	179575753	179577952	NPHS2
chr1	179589613	179591812	TDRD5
chr1	179877604	179879803	TOR1AIP2
chr1	181022922	181025121	STX6
chr1	182589057	182591256	RNASEL
chr1	182787293	182789492	NPL
chr1	183471555	183473754	SMG7
chr1	183590706	183592905	NCF2
chr1	183634085	183636284	RGL1
chr1	183635584	183637783	RGL1
chr1	183653117	183655316	RGL1
chr1	186294279	186296478	PRG4
chr1	186373838	186376037	ODR4
chr1	186375494	186377693	ODR4
chr1	192314992	192317191	RGS21
chr1	192634138	192636337	RGS13
chr1	193057216	193059415	UCHL5
chr1	193057454	193059653	UCHL5
chr1	193057454	193059653	RO60
chr1	193059881	193062080	RO60
chr1	193105915	193108114	GLRX2
chr1	196582282	196584481	KCNT2
chr1	196941738	196943937	CFHR2
chr1	197266204	197268403	CRB1
chr1	200409857	200412056	ZNF281
chr1	200667507	200669706	DDX59
chr1	200669708	200671907	DDX59
chr1	200915460	200917659	INAVA
chr1	201021949	201024148	KIF21B
chr1	201023515	201025714	KIF21B
chr1	201171375	201173574	TMEM9
